"Table 2: Population Distribution by Sex, Number of Households, Area , Density  and Administrative Units",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 8,Unnamed: 9,Unnamed: 11
,Male,Female,Total,Households,Area in Sq. Km.,Density,,,
                    CHERIBO,1081,1056,2137,388,3.52,607.4,,,
                    KAPSOGERUK,918,996,1914,358,2.48,772.02,,,
                CHEPLANGET,8521,8779,17300,3081,27.87,620.77,,,
                    CHEPLANGET,3668,3697,7365,1320,12.13,607.08,,,
                    TIRIITAB MOITA,2394,2487,4881,864,7.99,610.61,,,
                    BUTIIK,2459,2595,5054,897,7.74,652.71,,,
            CHEBORGE,21009,21330,42339,7920,93.44,453.11,,,
                TECHOGET,4749,4891,9640,1751,16.69,577.52,,,
                    KAMINJEIWA,1347,1350,2697,468,4.82,559.15,,,
                    AROKYET,1982,2121,4103,753,6.32,649.64,,,
                    KIBWASTUYO,1420,1420,2840,530,5.55,511.44,,,
                KAPSOGUT,2553,2639,5192,920,10.9,476.16,,,
                    KAPTELE,1240,1291,2531,447,5.16,490.68,,,
                    KAPSUGUT,1313,1348,2661,473,5.75,463.12,,,
                CHEBORGE,4559,4645,9204,1652,21.09,436.49,,,
                    KORONGOI,1104,1134,2238,408,4.27,523.73,,,
                    KABORUS,847,903,1750,324,3.79,461.57,,,
                    CHEBORGE,1203,1248,2451,471,7.07,346.92,,,
                    KIMWOGIT,1405,1360,2765,449,5.96,464.19,,,
                CHEBOIN,4152,4286,8438,1587,13.62,619.64,,,
                    NGOROGA,1060,1087,2147,432,4.23,507.1,,,
                    CHEBOIN,3092,3199,6291,1155,9.38,670.42,,,
                TEBESONIK,3389,3403,6792,1269,14.39,472,,,
                    TEBESONIK,2496,2539,5035,929,9.95,506.28,,,
                    SIONGI,893,864,1757,340,4.44,395.31,,,
                KIBUGAT,1607,1466,3073,741,16.75,183.44,,,
                    KIBUGAT,814,779,1593,343,7.91,201.29,,,
                    KELUNET,793,687,1480,398,8.84,167.46,,,
            RORET,24711,24979,49690,9892,109.35,454.43,,,
                KISIARA,6716,6640,13356,2900,35.26,378.84,,,
                    NGOINA,1471,1297,2768,765,16.05,172.44,,,
                    MABASI,1459,1591,3050,598,5.79,527.1,,,
                    RORET,2184,2333,4517,829,8.86,509.96,,,
                    MONORU,1602,1419,3021,708,4.56,662.62,,,
                KAPKISIARA,4075,4204,8279,1510,18.88,438.47,,,
                    KIPTOME,1199,1207,2406,453,5.26,457.7,,,
                    KAPKISIARA,2876,2997,5873,1057,13.62,431.06,,,
                TULWET,5278,5536,10814,2027,19.37,558.18,,,
                    KAPRORET,1567,1641,3208,592,5.52,581.32,,,
                    KELELWA,2355,2443,4798,915,7.54,636.38,,,
                    MOSORE,1356,1452,2808,520,6.32,444.61,,,
                KABARTEGAN,3972,3913,7885,1621,19.5,404.36,,,
                    KABARTEGAN,2037,1989,4026,809,12.56,320.48,,,
                    KIPKERIENY,1243,1235,2478,524,4.73,523.87,,,
                    CHEMOIYWA,692,689,1381,288,2.21,625.65,,,
                CHEMOSOT,2740,2743,5483,1114,8.56,640.88,,,
                    KAMINJEIWET,1316,1293,2609,506,5.11,510.61,,,
                    CHEMOSOT,1424,1450,2874,608,3.45,834.06,,,
                GETARWET,1930,1943,3873,720,7.78,497.81,,,
                    GETARWET,1007,1018,2025,377,4.38,462.8,,,
                    CHEPKONGONY,923,925,1848,343,3.4,542.8,,,
            KIMULOT,30423,25698,56121,15434,262.39,213.88,,,
                SAOSA,11463,8298,19761,7191,139.23,141.93,,,
                    CHEMOSIT,3296,2386,5682,2325,37.57,151.23,,,
                    CHEPCHABAS,8167,5912,14079,4866,101.66,138.5,,,
                KIMULOT,8288,7843,16131,3301,27.26,591.67,,,
                    CHEMALAL,1482,1464,2946,551,5.42,543.17,,,
                    KAPSINENDET,2117,1978,4095,942,6.32,648.05,,,
                    KAPSET,4689,4401,9090,1808,15.52,585.67,,,
                CHEBAGANG,3396,3208,6604,1304,19.74,334.57,,,
                    KAPSENGERE,1440,1447,2887,600,9.77,295.37,,,
                    CHEBAGANG,1956,1761,3717,704,9.96,373.01,,,
                KAPTEBENGWET,5212,4644,9856,2543,61.57,160.08,,,
                    BESIOBEI,1605,1599,3204,696,35.94,89.15,,,
                    KAMOGOMON,3607,3045,6652,1847,25.63,259.52,,,
                KAPTIEN,2064,1705,3769,1095,14.59,258.33,,,
                    KAPTIEN,1366,1095,2461,740,10.76,228.81,,,
                    KAPSIGOWO,698,610,1308,355,3.83,341.13,,,
            CHEPTALAL,17034,16886,33920,6442,88.36,383.89,,,
                EMBOMOS,3666,3538,7204,1380,17.05,422.53,,,
                    EMBOMOS,2434,2291,4725,918,9.35,505.33,,,
                    SIOMO,1232,1247,2479,462,7.7,321.99,,,
                SOTIT,2264,2223,4487,798,15.91,282.02,,,
                    KIRIMOSE,805,824,1629,260,6.05,269.05,,,
                    SOTIT,808,782,1590,306,4.06,392.08,,,
                    KIMARWANDI,651,617,1268,232,5.8,218.6,,,
                CHEPTALAL,3824,3997,7821,1523,18.27,427.96,,,
                    TABOINO,3077,3221,6298,1239,13.99,450.04,,,
                    KITALA,747,776,1523,284,4.28,355.77,,,
                SATIET,3638,3623,7261,1416,19.19,378.3,,,
                    SATIET,723,689,1412,263,3.48,405.89,,,
                    BOSTO,1937,1941,3878,780,11.22,345.57,,,
                    KUGERWET,978,993,1971,373,4.49,438.71,,,
                KIPTENDEN,3642,3505,7147,1325,17.93,398.63,,,
                    TEREK,1696,1661,3357,625,8.23,408.09,,,
                    KIPTENDEN,1946,1844,3790,700,9.7,390.6,,,
