"Table 2: Population Distribution by Sex, Number of Households, Area , Density  and Administrative Units",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 8,Unnamed: 9,Unnamed: 11
,Male,Female,Total,Households,Area in Sq. Km.,Density,,,
KENYA,19192458,19417639,38610097,8767954,581313.17,66.42,,,
    NAIROBI,1605230,1533139,3138369,985016,695.1,4514.96,,,
        NAIROBI WEST,352227,332538,684765,212295,261.78,2615.81,,,
            DAGORETTI,166391,163186,329577,103818,38.62,8533.89,,,
                KAWANGWARE,59430,53856,113286,38249,3.89,29091.7,,,
                    GATINA,24747,21125,45872,15987,1.51,30411.03,,,
                    KAWANGWARE,34683,32731,67414,22262,2.39,28257.53,,,
                KENYATTA /GOLF COURSE,16710,18645,35355,9401,9.52,3714.27,,,
                    KENYATTA /GOLF COURSE,10876,11940,22816,5987,5.1,4474.69,,,
                    WOODLEY,5834,6705,12539,3414,4.42,2837.01,,,
                MUTUINI,9015,8958,17973,5454,5.02,3582.92,,,
                    KIRIGU,6097,6111,12208,3694,1.74,7027.4,,,
                    MUTUINI,2918,2847,5765,1760,3.28,1758.1,,,
                RIRUTA,49985,49349,99334,31407,7.32,13574.11,,,
                    NGANDO,17615,16399,34014,11162,3.16,10757.12,,,
                    RIRUTA,32370,32950,65320,20245,4.16,15717.41,,,
                UTHIRU-RUTHIMITU,15928,16647,32575,9868,7.9,4124.41,,,
                    RUTHIMITU,7493,7776,15269,4434,4.84,3155.73,,,
                    UTHIRU,8435,8871,17306,5434,3.06,5656.29,,,
                WAITHAKA,15323,15731,31054,9439,4.97,6242.39,,,
                    KABIRIA,4859,4254,9113,2948,2.69,3385.84,,,
                    WAITHAKA,10464,11477,21941,6491,2.28,9609.76,,,
            KIBERA,185836,169352,355188,108477,223.16,1591.63,,,
                KAREN,7450,6338,13788,4223,39.63,347.91,,,
                    KAREN,4768,4028,8796,2861,23.04,381.78,,,
                    LENANA,2682,2310,4992,1362,16.59,300.88,,,
                KIBERA,48001,39548,87549,28878,1.55,56483.23,,,
                    KIBERA,5293,4493,9786,3237,0.15,65196.54,,,
                    LINDI,19545,15613,35158,11551,0.5,70301.94,,,
                    MAKINA,12965,12277,25242,7926,0.66,38508.01,,,
                    SIRANGA,10198,7165,17363,6164,0.24,71072.45,,,
                LAINI SABA,28547,23826,52373,18341,0.76,68785.13,,,
                    LAINI SABA,15688,12494,28182,9927,0.37,75941.79,,,
                    NYAYO HIGHRISE,12859,11332,24191,8414,0.39,61980.53,,,
                LANGATA,10867,8648,19515,5434,31.76,614.42,,,
                    HARDY,4848,4266,9114,2568,14.28,638.09,,,
                    LANGATA,6019,4382,10401,2866,17.48,595.07,,,
                MUGUMO-INI,22322,24715,47037,13079,126.41,372.09,,,
                    BOMAS,7912,8734,16646,4601,123.43,134.86,,,
                    MUGUMO-INI,14410,15981,30391,8478,2.98,10186.36,,,
                NAIROBI WEST,39840,40739,80579,22925,22.01,3661.83,,,
                    NAIROBI WEST,15812,17565,33377,9166,6.91,4833.11,,,
                    SOUTH C,24028,23174,47202,13759,15.1,3126.13,,,
                SERANGOMBE,28809,25538,54347,15597,1.04,52433.19,,,
                    GATWIKIRA,13580,11411,24991,7270,0.29,85322.64,,,
                    OLYMPIC/KYANDA,15229,14127,29356,8327,0.74,39478.21,,,
        NAIROBI EAST,582554,561862,1144416,369866,226.69,5048.46,,,
            EMBAKASI,468097,457678,925775,296942,203.63,4546.27,,,
                DANDORA,71452,70594,142046,47808,3.92,36253.8,,,
                    DANDORA 'A',28362,28115,56477,20163,1.97,28672.89,,,
                    DANDORA 'B',43090,42479,85569,27645,1.95,43917.57,,,
                EMBAKASI,45354,42616,87970,25982,59.95,1467.27,,,
                    EMBAKASI,32674,32360,65034,19815,45.03,1444.17,,,
                    MIHANGO,12680,10256,22936,6167,14.92,1537,,,
                KARIOBANGI SOUTH,26995,28994,55989,17119,4.82,11612.6,,,
                    KARIOBANGI SOUTH,15363,17673,33036,9869,1.41,23479.74,,,
                    MOWLEM,11632,11321,22953,7250,3.41,6722.41,,,
                KAYOLE,85860,90089,175949,53711,5.47,32175.59,,,
                    KAYOLE,69665,70656,140321,45672,2.39,58655.27,,,
                    KOMA ROCK,16195,19433,35628,8039,3.08,11582.2,,,
                MUKURU KWA NJENGA,111085,89957,201042,75420,12.02,16720.34,,,
                    IMARA DAIMA,39466,31175,70641,26222,3.92,18042.3,,,
                    MUKURU KWA NJENGA,71619,58782,130401,49198,8.11,16082.01,,,
                NJIRU,25377,24076,49453,15441,9.06,5458.75,,,
                    NJIRU,11847,10635,22482,7496,5.18,4338.81,,,
                    SAIKA,13530,13441,26971,7945,3.88,6955.23,,,
                RUAI,18186,17775,35961,9848,100.48,357.9,,,
                    NGUNDU,4870,4643,9513,2532,51.52,184.63,,,
                    RUAI,13316,13132,26448,7316,48.95,540.25,,,
                UMOJA,83788,93577,177365,51613,7.91,22422.88,,,
                    UMOJA 'II',45724,55753,101477,28097,3.13,32472.64,,,
                    SAVANNAH,38064,37824,75888,23516,4.79,15859.56,,,
            MAKADARA,114457,104184,218641,72924,23.05,9484.69,,,
                MAKADARA,22360,26129,48489,13516,3.46,14012.95,,,
                    HAMZA,8023,8228,16251,5348,0.89,18232.92,,,
                    HARAMBEE,11513,14746,26259,6561,2.19,11994.24,,,
                    LUMUMBA/JERICHO,2824,3155,5979,1607,0.38,15746.64,,,
                MAKONGENI,10721,9342,20063,6280,1.28,15646.1,,,
                    KALOLENI,4153,3608,7761,2536,0.61,12796.37,,,
                    MAKONGENI,6568,5734,12302,3744,0.68,18203.61,,,
                MARINGO,12842,12554,25396,8031,1.11,22889.59,,,
                    MBOTELA,5601,5358,10959,3304,0.46,23654.22,,,
                    OFAFA MARINGO,7241,7196,14437,4727,0.65,22341.38,,,
                MUKURU NYAYO,27277,26026,53303,17357,5.93,8982.64,,,
                    HAZINA,10492,10393,20885,6445,4.38,4773.06,,,
                    NAIROBI SOUTH,16785,15633,32418,10912,1.56,20802.1,,,
                VIWANDANI,41257,30133,71390,27740,11.27,6336.82,,,
                    LANDI MAWE,15434,11075,26509,9814,5.55,4772.1,,,
                    VIWANDANI,25823,19058,44881,17926,5.71,7858.83,,,
        NAIROBI NORTH,545701,516385,1062086,327428,109.26,9720.77,,,
            CENTRAL,142097,132510,274607,87519,10.71,25640.24,,,
                HURUMA,54787,51532,106319,34017,1.37,77656.12,,,
                    HURUMA,37734,34761,72495,23800,0.7,103431.3,,,
                    KIAMAIKO,17053,16771,33824,10217,0.67,50619.57,,,
                NGARA,12325,13029,25354,7749,2.59,9797.13,,,
                    NGARA EAST,7507,8076,15583,5067,1.31,11930.94,,,
                    NGARA WEST,4818,4953,9771,2682,1.28,7622.87,,,
                KARIOKOR,22278,23702,45980,11961,2.51,18296.86,,,
                    PANGANI,17702,19360,37062,9343,1.68,22001.78,,,
                    ZIWANI,4576,4342,8918,2618,0.83,10764.03,,,
                MATHARE,47113,39984,87097,31426,1.58,54978.54,,,
                    MABATINI,15286,12974,28260,9809,0.35,79740.41,,,
                    MATHARE,11205,9258,20463,6617,0.82,25040.38,,,
                    MLANGO KUBWA,20622,17752,38374,15000,0.41,93005.33,,,
                STAREHE,5594,4263,9857,2366,2.66,3711.5,,,
                    CITY CENTRE,5450,4161,9611,2331,1.34,7183.65,,,
                    CITY SQUARE,144,102,246,35,1.32,186.66,,,
            KASARANI,266684,258940,525624,164354,86.43,6081.56,,,
                GITHURAI,41463,46112,87575,29465,4.95,17682.99,,,
                    GITHURAI,24893,26717,51610,17966,1.96,26357.18,,,
                    KAMUTHI,2087,2313,4400,1190,1.17,3764.54,,,
                    ZIMMERMAN,14483,17082,31565,10309,1.83,17290.21,,,
                KAHAWA,29866,26571,56437,14950,15.09,3739.68,,,
                    KAHAWA WEST,13066,9972,23038,6074,5.13,4486.99,,,
                    KIWANJA,9035,7921,16956,3813,8.75,1937.32,,,
                    KONGO SOWETO,7765,8678,16443,5063,1.2,13649.04,,,
                KARIOBANGI,19902,19440,39342,12802,1.1,35778.46,,,
                    KARIOBANGI NORTH,19902,19440,39342,12802,1.1,35778.46,,,
                KASARANI,48087,52385,100472,29925,30.46,3298.88,,,
                    MWIKI,19450,19706,39156,12213,18.79,2084.24,,,
                    KASARANI,28637,32679,61316,17712,11.67,5254.29,,,
                KOROGOCHO,21958,19988,41946,12909,0.89,46961.49,,,
                    GITATHURU,11379,10356,21735,6480,0.48,45262.39,,,
                    KOROGOCHO,5376,5000,10376,3129,0.22,46136.06,,,
                    NYAYO,5203,4632,9835,3300,0.19,52286.02,,,
                ROYSAMBU,24536,23142,47678,15003,27.67,1723.08,,,
                    GARDEN,6516,5808,12324,3653,12.59,979.04,,,
                    NJATHAINI,3901,3446,7347,2348,5.3,1385.47,,,
                    ROYSAMBU,14119,13888,28007,9002,9.78,2863.85,,,
                RUARAKA,80872,71302,152174,49300,6.27,24286.06,,,
                    RUARAKA,31395,29346,60741,18651,3.9,15580.61,,,
                    MATHARE 4A,10211,8565,18776,5627,0.22,87208.55,,,
                    MATHARE NORTH,29597,25561,55158,18450,0.46,119054.61,,,
                    UTALII,9669,7830,17499,6572,1.69,10361.8,,,
            PUMWANI,136920,124935,261855,75555,12.12,21604.66,,,
                BAHATI,21318,23505,44823,13439,2.81,15933.1,,,
                    KIMATHI,10701,10904,21605,6989,1.3,16614.12,,,
                    UHURU,10617,12601,23218,6450,1.51,15347.7,,,
                EASTLEIGH NORTH,46295,40131,86426,19725,5.91,14626.16,,,
                    AIR BASE,23261,19907,43168,10317,5.03,8579.89,,,
                    EASTLEIGH NORTH,23034,20224,43258,9408,0.88,49285.63,,,
                EASTLEIGH SOUTH,45776,42187,87963,28095,1.52,57927.56,,,
                    CALIFORNIA,11065,10634,21699,6662,0.48,45253.39,,,
                    EASTLEIGH SOUTH /KIAMBIO,34711,31553,66264,21433,1.04,63776.71,,,
                KAMUKUNJI,10893,8698,19591,6757,1.36,14449.77,,,
                    KAMUKUNJI,863,325,1188,113,0.24,4886.88,,,
                    MUTHURWA,1948,1523,3471,1304,0.49,7049.15,,,
                    S. MOYO,8082,6850,14932,5340,0.62,24072.22,,,
                PUMWANI,12638,10414,23052,7539,0.52,44009.16,,,
                    GIKOMBA,788,782,1570,420,0.06,26342.28,,,
                    GOROFANI/ BONDENI,2905,2290,5195,1824,0.17,30594.82,,,
                    MAJENGO,8945,7342,16287,5295,0.29,55322.69,,,
        WESTLANDS,124748,122354,247102,75427,97.38,2537.52,,,
            WESTLANDS,124748,122354,247102,75427,97.38,2537.52,,,
                HIGHRIDGE,27979,25741,53720,16021,41.88,1282.73,,,
                    HIGHRIDGE,13903,13364,27267,8075,3.74,7292.98,,,
                    KARURA,8452,7186,15638,4721,19.36,807.93,,,
                    MUTHAIGA,5624,5191,10815,3225,18.79,575.73,,,
                KANGEMI,41745,38954,80699,26859,4.65,17347.91,,,
                    GICHAGI,10164,9290,19454,6409,0.87,22243.31,,,
                    KANGEMI,23142,21422,44564,15256,1.57,28298.2,,,
                    MT. VIEW,8439,8242,16681,5194,2.2,7574.01,,,
                KILELESHWA,12207,14995,27202,7743,9.04,3009.27,,,
                    KILELESHWA,7389,9413,16802,4592,5.23,3209.61,,,
                    MUTHANGARI,4818,5582,10400,3151,3.8,2733.6,,,
                KILIMANI,20490,22632,43122,11350,16.06,2684.84,,,
                    KILIMANI,14020,14912,28932,7419,8.97,3226.64,,,
                    MAZIWA,6470,7720,14190,3931,7.09,2000.08,,,
                KITISURU,16627,14615,31242,10142,21.3,1466.43,,,
                    KITISURU,3432,2761,6193,2105,8.61,719.51,,,
                    KYUNA,3746,3293,7039,2130,3.4,2071.57,,,
                    LORESHO,9449,8561,18010,5907,9.3,1936.64,,,
                PARKLANDS,5700,5417,11117,3312,4.44,2502.36,,,
                    UPPER PARKLANDS,3015,3023,6038,1934,2.38,2537.08,,,
                    SPRING VALLEY,2685,2394,5079,1378,2.06,2462.31,,,
    CENTRAL,2152983,2230760,4383743,1224742,13163.66,333.02,,,
        NYANDARUA NORTH,151511,157040,308551,76597,1762.13,175.1,,,
            NDARAGWA,45229,47397,92626,23617,653.62,141.71,,,
                KAHUTHA,9383,9613,18996,4891,197.5,96.18,,,
                    MURICHO,3479,3611,7090,1927,44.51,159.28,,,
                    KIANJOGU,1401,1502,2903,731,56.05,51.79,,,
                    KIRIOGO,1250,1266,2516,641,18.55,135.6,,,
                    URUKU,1309,1359,2668,689,30.07,88.72,,,
                    KARIKI,1944,1875,3819,903,48.31,79.06,,,
                SHAMATA,11648,11793,23441,5791,173.32,135.25,,,
                    KARANDI,3068,3232,6300,1461,22.36,281.81,,,
                    SIMBARA,998,940,1938,522,21.99,88.12,,,
                    PESI,1880,1856,3736,1046,50.92,73.37,,,
                    SHAMATA,3444,3477,6921,1745,30.73,225.23,,,
                    KIRIMA,2258,2288,4546,1017,47.32,96.06,,,
                LESHAU,6221,6878,13099,3360,97.53,134.3,,,
                    KARAGOINI,3162,3488,6650,1647,47.79,139.14,,,
                    MBUYU,3059,3390,6449,1713,49.74,129.66,,,
                KIRITA,8404,8936,17340,4585,36.43,475.96,,,
                    SHAURI,1857,1974,3831,943,10.95,349.83,,,
                    MAIRO-INYA,6547,6962,13509,3642,25.48,530.17,,,
                MATHINGIRA,4247,4539,8786,2252,58.88,149.23,,,
                    LESHAU,3033,3259,6292,1631,39.06,161.09,,,
                    NDIVAI,1214,1280,2494,621,19.82,125.85,,,
                KANYAGIA,5326,5638,10964,2738,89.96,121.87,,,
                    KANYAGIA,1478,1653,3131,797,19.01,164.67,,,
                    KIHARA,1219,1243,2462,650,32.27,76.3,,,
                    MURUAI,2629,2742,5371,1291,38.68,138.84,,,
            OLJORO-OROK,42354,43471,85825,22071,389.05,220.6,,,
                OL JORO-OROK,6512,6752,13264,3470,70.83,187.26,,,
                    ORAIMUTIA,1918,1916,3834,944,29.6,129.54,,,
                    NYAIROKO,1052,1002,2054,557,19.41,105.82,,,
                    LESRIKO,3542,3834,7376,1969,21.83,337.93,,,
                GATHANJI,13721,13728,27449,6614,133.92,204.97,,,
                    SILIBWET,6764,6857,13621,3265,52.38,260.04,,,
                    NGANO,3048,3070,6118,1518,25.37,241.19,,,
                    GATHANJI,3909,3801,7710,1831,56.17,137.26,,,
                WERU,9162,9609,18771,4685,112.06,167.5,,,
                    GATUMBIRO,2283,2422,4705,1174,27.88,168.77,,,
                    KIRIMANGAI,2658,2740,5398,1301,22.07,244.54,,,
                    WERU,4221,4447,8668,2210,62.11,139.56,,,
                GATIMU,12959,13382,26341,7302,72.23,364.66,,,
                    KANGUO,1874,1703,3577,909,23.38,152.99,,,
                    GATIMU,6584,7016,13600,3675,38.78,350.65,,,
                    GIKINGI,4501,4663,9164,2718,10.07,910.14,,,
            OLKALOU,63928,66172,130100,30909,586.64,221.77,,,
                TUMAINI,6236,6159,12395,2894,70.27,176.4,,,
                    KANJUIRI,4345,4308,8653,1919,48.41,178.74,,,
                    UPPER GILGIL,1891,1851,3742,975,21.85,171.23,,,
                NGORIKA,6646,6793,13439,3145,52.46,256.2,,,
                    NGORIKA,6646,6793,13439,3145,52.46,256.2,,,
                NDUNDORI,17999,18875,36874,8215,119.85,307.66,,,
                    SABUGO,7288,7797,15085,3376,33.11,455.64,,,
                    RUIRU,3084,3276,6360,1389,23.75,267.76,,,
                    MILANGINE,5911,6060,11971,2633,36.46,328.33,,,
                    MATINDIRI,1716,1742,3458,817,26.53,130.32,,,
                KAIMBAGA,8889,9037,17926,4734,111.74,160.43,,,
                    GICHUNGO,5628,5606,11234,3166,47.74,235.33,,,
                    KANDUTURA,3261,3431,6692,1568,64,104.56,,,
                RURII,11737,12215,23952,5877,127.2,188.31,,,
                    MATURA,4432,4706,9138,2175,35.27,259.11,,,
                    RURII,4784,4986,9770,2416,56.39,173.27,,,
                    PASSENGA,2521,2523,5044,1286,35.54,141.91,,,
                OL KALOU,12421,13093,25514,6044,105.13,242.69,,,
                    MAWINGO,6973,7445,14418,3002,52.65,273.87,,,
                    MUNYEKI,5448,5648,11096,3042,52.49,211.41,,,
            ABERDARE FOREST,0,0,0,0,132.82,0,,,
                ABERDARE FOREST,0,0,0,0,132.82,0,,,
                    ABERDARE FOREST,0,0,0,0,132.82,0,,,
        NYANDARUA SOUTH,140644,147073,287717,67282,1483.12,193.99,,,
            KIPIPIRI,46313,49025,95338,22141,543.69,175.36,,,
                WANJOHI,11565,12310,23875,5608,140.22,170.27,,,
                    GATONDO,3021,3113,6134,1379,51.84,118.32,,,
                    WANJOHI,6696,7152,13848,3204,64.5,214.71,,,
                    RIRONI,1848,2045,3893,1025,23.88,163.02,,,
                MALEWA,6795,7223,14018,3252,100.06,140.09,,,
                    NDEMI,4035,4141,8176,1910,58.96,138.67,,,
                    MALEWA,2760,3082,5842,1342,41.1,142.13,,,
                GETA,9785,10474,20259,4581,64.35,314.8,,,
                    KIAMBOGO,2175,2383,4558,975,15.93,286.13,,,
                    MIKEU,2318,2489,4807,1152,18.21,264.03,,,
                    GETA,3037,3178,6215,1441,20.15,308.49,,,
                    MAKUMBI,2255,2424,4679,1013,10.07,464.53,,,
                KIPIPIRI,12100,12755,24855,5864,143.47,173.24,,,
                    MIHARATI,6042,6257,12299,2860,58.31,210.91,,,
                    GITHIORO,6058,6498,12556,3004,85.15,147.45,,,
                LERESHWA,6068,6263,12331,2836,95.58,129.01,,,
                    KIRIKO,3686,3795,7481,1702,67.35,111.07,,,
                    LERESHWA,2382,2468,4850,1134,28.23,171.82,,,
            KINANGOP NORTH,42795,44602,87397,20216,472.84,184.84,,,
                ENGINEER,22424,23350,45774,10741,225.3,203.17,,,
                    GATHARA,5051,5211,10262,2399,57.39,178.81,,,
                    MURUNGARU,7147,7562,14709,3352,72.41,203.15,,,
                    KAHURU MURUAKI,10226,10577,20803,4990,95.51,217.81,,,
                KINANGOP NORTH,20371,21252,41623,9475,247.53,168.15,,,
                    KINJA,4065,4449,8514,2151,21.43,397.34,,,
                    MIKARO,1617,1675,3292,679,61.53,53.51,,,
                    NANDARASI,6081,6260,12341,2896,45.08,273.78,,,
                    MKUNGI,4339,4580,8919,1928,30.93,288.37,,,
                    KITIRI,4269,4288,8557,1821,88.57,96.61,,,
            KINANGOP SOUTH,51536,53446,104982,24925,349.18,300.65,,,
                NJABINI,17150,17569,34719,8402,153.19,226.65,,,
                    NJABINI,4753,4813,9566,2437,28.66,333.72,,,
                    KIBURU,5551,5548,11099,2744,70.19,158.12,,,
                    MURUAKI,3018,3156,6174,1454,23.26,265.44,,,
                    TULAGA,3828,4052,7880,1767,31.07,253.64,,,
                MAGUMU,15980,16941,32921,7952,84.29,390.57,,,
                    GITWE,2751,2816,5567,1353,11.89,468.08,,,
                    KARATI,3628,3655,7283,1670,30.5,238.79,,,
                    MATURA,3987,4229,8216,1957,22.81,360.15,,,
                    BAMBOO,5614,6241,11855,2972,19.08,621.18,,,
                NYAKIO,18406,18936,37342,8571,111.71,334.29,,,
                    MUKEU,4316,4416,8732,2014,21.48,406.59,,,
                    KARANGATHA,4260,4546,8806,2063,13.32,661.06,,,
                    RWANYAMBO,3798,3804,7602,1706,12.9,589.49,,,
                    GITHABAI,2923,2956,5879,1383,38.58,152.4,,,
                    KOINANGE,3109,3214,6323,1405,25.44,248.58,,,
            ABERDARE FOREST,0,0,0,0,117.41,0,,,
                ABERDARE FOREST,0,0,0,0,117.41,0,,,
                    ABERDARE FOREST,0,0,0,0,117.41,0,,,
        NYERI NORTH,160121,164538,324659,95608,2286.85,141.97,,,
            KIENI EAST,48997,47503,96500,29012,817.11,118.1,,,
                NAROMORU,10723,10810,21533,6620,133.16,161.71,,,
                    NAROMORU,2040,2061,4101,1661,6.56,624.91,,,
                    NDIRITI,1964,1869,3833,1094,16.75,228.9,,,
                    GATURIRI,1814,1736,3550,1063,29.48,120.44,,,
                    RONGAI,1681,1954,3635,989,37.72,96.38,,,
                    KAMBURAINI,3224,3190,6414,1813,42.66,150.37,,,
                KIAMATHAGA,6130,5813,11943,3356,110.08,108.49,,,
                    THIGITHI,1175,1019,2194,666,21.05,104.21,,,
                    MURICHU,1353,1321,2674,762,11.31,236.53,,,
                    GIKAMBA,2183,2001,4184,1098,66.41,63,,,
                    KABENDERA,1419,1472,2891,830,11.31,255.63,,,
                KABARU,11263,10821,22084,6205,203.62,108.46,,,
                    KIRIMA,2858,2602,5460,1505,62.36,87.55,,,
                    NDATHI,3310,3161,6471,1719,101.4,63.81,,,
                    KIMAHURI,3322,3255,6577,1961,13.39,491.24,,,
                    MUNYU,1773,1803,3576,1020,26.46,135.14,,,
                THEGU,7598,7021,14619,4734,118.72,123.14,,,
                    THUNGARI,2568,2342,4910,1811,35.01,140.25,,,
                    LUSOI,1138,967,2105,605,34.16,61.63,,,
                    THIRIGITU,2263,2105,4368,1446,26.72,163.5,,,
                    MARAGIMA,1629,1607,3236,872,22.83,141.73,,,
                GAKAWA,13283,13038,26321,8097,251.54,104.64,,,
                    GATHIURU,2886,2484,5370,1609,118.21,45.43,,,
                    GITHIMA,2416,2439,4855,1363,39.04,124.36,,,
                    KAHURURA,7981,8115,16096,5125,94.29,170.71,,,
            KIENI WEST,39273,40039,79312,22292,623.29,127.25,,,
                MWEIGA,8501,8763,17264,5260,69.31,249.09,,,
                    BONDENI,691,728,1419,367,5.27,269.21,,,
                    AMBONI,2156,2188,4344,1194,13.06,332.5,,,
                    NJENGU,1404,1383,2787,784,13.51,206.22,,,
                    KAMATONGU,4250,4464,8714,2915,37.46,232.62,,,
                GATARAKWA,10037,9988,20025,5518,207.12,96.68,,,
                    WATUKA,2124,2169,4293,1126,23.87,179.87,,,
                    LAMURIA,2292,2282,4574,1366,32.13,142.36,,,
                    EMBARINGO,2336,2284,4620,1217,62.76,73.62,,,
                    KAMARIKI,3285,3253,6538,1809,88.36,73.99,,,
                ENDARASHA,8747,8946,17693,4833,76.78,230.43,,,
                    MITERO,1785,1805,3590,901,14.87,241.41,,,
                    CHARITY,2769,2649,5418,1456,21.9,247.44,,,
                    GAKANGA,1050,1019,2069,569,23.42,88.34,,,
                    ENDARASHA,3143,3473,6616,1907,16.6,398.62,,,
                MWIYOGO,5853,5877,11730,3237,129.6,90.51,,,
                    KABATI,1261,1229,2490,701,28.27,88.08,,,
                    MUTHUINI,986,1008,1994,571,19.75,100.98,,,
                    LABURA,2745,2750,5495,1494,65.48,83.92,,,
                    MWIYOGO,861,890,1751,471,16.1,108.73,,,
                MUGUNDA,6135,6465,12600,3444,140.48,89.69,,,
                    KAREMENO,909,924,1833,538,18.4,99.61,,,
                    RUIRII,1706,1819,3525,993,44.08,79.97,,,
                    KAMIRURI,1325,1441,2766,722,19.23,143.8,,,
                    NAIRUTIA,2195,2281,4476,1191,58.76,76.17,,,
            MATHIRA,71851,76996,148847,44304,296.55,501.93,,,
                KARATINA,3829,4812,8641,3108,1.82,4747.54,,,
                    CHERUKIANGARU,610,695,1305,357,0.77,1691.95,,,
                    KIHARO/BIASHARA,1235,1637,2872,1096,0.41,7086.11,,,
                    MUTHUA/GIAKAIRU,1984,2480,4464,1655,0.64,6937.06,,,
                IRIAINI,13270,14382,27652,8349,49.78,555.44,,,
                    GATUNDU,1470,1595,3065,902,4.2,729.4,,,
                    KIAGUTHI,1567,1615,3182,937,5.71,557.57,,,
                    KAGUYU,2467,2662,5129,1531,10.36,495.08,,,
                    THEGENGE,1289,1410,2699,854,7.53,358.39,,,
                    KIAMWANGI,2442,2615,5057,1523,5.58,906.84,,,
                    KAIRA,1950,2172,4122,1219,6.05,680.89,,,
                    CHEHE,2085,2313,4398,1383,10.35,424.78,,,
                KIRIMUKUYU,13851,15047,28898,8137,54.23,532.91,,,
                    THAITHI,1316,1423,2739,756,5.42,505.77,,,
                    THIU,1826,1888,3714,1082,6.08,610.52,,,
                    NGAINI,1144,1249,2393,675,5.15,464.78,,,
                    MBOGOINI,2630,2783,5413,1571,7.62,710.26,,,
                    MUTATHIINI,1093,1150,2243,637,3.88,578.69,,,
                    NGANDU,2415,2752,5167,1365,8.62,599.52,,,
                    GACHUIRO,2118,2256,4374,1233,10.91,401.08,,,
                    KIRIA,1309,1546,2855,818,6.56,435.35,,,
                MAGUTU,11888,12383,24271,7027,39.42,615.66,,,
                    GAIKUYU,1514,1605,3119,925,7.51,415.51,,,
                    GATEI,3800,3784,7584,2077,11.16,679.71,,,
                    GATHEHU,2124,2171,4295,1197,7.7,557.78,,,
                    GITUNDUTI,1169,1239,2408,711,4.13,582.99,,,
                    GIKUMBO,1095,1221,2316,654,4.79,483.26,,,
                    RAGATI,2186,2363,4549,1463,4.14,1099.88,,,
                KONYU,17778,18661,36439,11060,57.23,636.66,,,
                    ITIATI,2139,2253,4392,1277,9.18,478.59,,,
                    ICHUGA,2081,2077,4158,1260,8.03,517.85,,,
                    BARICHO,2952,2978,5930,1959,8.17,725.69,,,
                    KARINDUNDU,3763,3913,7676,2536,6.33,1212.47,,,
                    MUKORE,2122,2327,4449,1251,7.92,561.76,,,
                    GACHUKU,2204,2421,4625,1290,7.31,633.02,,,
                    GAKUYU,2517,2692,5209,1487,10.3,505.75,,,
                NGORANO,3704,3890,7594,2175,23.82,318.86,,,
                    GATUNG'ANGA,1135,1227,2362,658,6.85,344.67,,,
                    HIRIGA,654,707,1361,401,6.38,213.4,,,
                    CHIENI,1034,1046,2080,574,6.45,322.38,,,
                    KARUTHI,881,910,1791,542,4.13,433.32,,,
                RUGURU,7531,7821,15352,4448,70.24,218.55,,,
                    KIAMARIGA,2008,2235,4243,1261,11.97,354.56,,,
                    SAGANA,2105,1908,4013,1223,42.14,95.22,,,
                    IRURI,1620,1739,3359,926,7.62,440.54,,,
                    RUTURU,1798,1939,3737,1038,8.51,439.11,,,
            MT. KENYA  FOREST,0,0,0,0,248.44,0,,,
                MT. KENYA  FOREST,0,0,0,0,248.44,0,,,
                    MT. KENYA  FOREST,0,0,0,0,248.44,0,,,
            ABERDARES FOREST,0,0,0,0,301.47,0,,,
                ABERDARES FOREST,0,0,0,0,301.47,0,,,
                    ABERDARES FOREST,0,0,0,0,301.47,0,,,
        NYERI SOUTH,179604,189295,368899,106095,1050.25,351.25,,,
            TETU EAST,21499,23075,44574,12155,75.13,593.32,,,
                KARUNDU,8620,9323,17943,4916,27.33,656.56,,,
                    KIANJOGU,2841,3080,5921,1655,8.7,680.58,,,
                    KARIGUINI,1043,1124,2167,552,3.15,687.59,,,
                    KIGWADI,1221,1265,2486,680,3.69,673.55,,,
                    KIHORA,669,736,1405,373,2.43,578.5,,,
                    UNJIRU,989,1130,2119,603,3.47,609.89,,,
                    KAIGURI,1183,1287,2470,669,3.67,672.95,,,
                    MBAANI,674,701,1375,384,2.21,621.36,,,
                AGUTHII,6534,6926,13460,3688,25.73,523.19,,,
                    THAGEINI,1098,1232,2330,667,5.65,412.44,,,
                    GITITU,1745,1787,3532,974,6.49,543.93,,,
                    MUNGARIA,1140,1178,2318,622,4.33,535.47,,,
                    GICHIRA,1532,1621,3153,832,5.58,565.33,,,
                    ITHEKAHUNO,1019,1108,2127,593,3.68,578.33,,,
                GAAKI,6345,6826,13171,3551,22.07,596.75,,,
                    MUTATHIINI,1283,1404,2687,661,3.85,698.72,,,
                    GATHAITHI,801,780,1581,423,2.94,537.33,,,
                    HUHOINI,956,1075,2031,597,3.43,592.2,,,
                    GAAKI,2335,2547,4882,1332,8.54,571.63,,,
                    KIAWAITHANJI,970,1020,1990,538,3.31,600.61,,,
            OTHAYA,41696,45678,87374,24017,174.49,500.75,,,
                CHINGA NORTH,4946,5038,9984,2714,22.88,436.46,,,
                    MUCHARAGE,1060,1116,2176,614,6.59,330.42,,,
                    GIKIGIE,1610,1708,3318,896,7.88,420.91,,,
